rank,workers,company,state_s,city,metro,growth,revenue,industry,yrs_on_list
2738,181,Black Elk Energy,TX,Houston,Houston,136.4096,258008000,Energy,3
2739,643,Jones Industrial Holdings,TX,Deer Park,Houston,136.3278,159981711,Energy,3
2740,58,Bridge360,TX,Austin,Austin,136.3171,6036028,Software,2
2741,42,Think Brownstone,PA,Conshohocken,Philadelphia,136.3043,5304863,IT Services,2
2742,18,Atlantis Mortgage,MI,Farmington Hills,Detroit,136.2956,2537742,Financial Services,2
2743,29,Rhythm Interactive,CA,Irvine,Los Angeles,136.2915,5000492,Advertising & Marketing,2
2744,537,Invenio Solutions,TX,Austin,Austin,136.2787,40881699,Advertising & Marketing,2
2745,102,The Rainmaker Group,GA,Alpharetta,Atlanta,136.2418,28023000,Software,4
2746,75,Accuro,NC,Raleigh,Raleigh-Cary NC,135.846,4394207,Human Resources,1
2747,13,Luxury Divas,NJ,Phillipsburg,New York City,135.8196,3161817,Retail,1
2748,23,Motive Interactive,CA,San Diego,San Diego,135.8119,19104601,Advertising & Marketing,2
2749,55,Nuvento,KS,Lenexa,Kansas City MO-KS,135.6673,5201809,IT Services,2
2750,49,EnableComp,TN,Franklin,Nashville,135.5909,5400854,Health,1
2751,96,Structura,TX,Austin,Austin,135.3314,45776073,Construction,2
2752,90,The Boardroom Salon for Men,TX,Southlake,Dallas,135.0273,4303751,Consumer Products & Services,2
2753,90,Pacific Shore Stones,TX,Austin,Austin,135.0103,35464809,Construction,2
2754,10,Real Estate Closing Solutions,FL,Orlando,Orlando FL,135.0058,2033305,Real Estate,1
2755,98,America Choice RV,FL,Ocala,Ocala FL,134.9657,36946465,Consumer Products & Services,1
2756,13,HealthLink Dimensions,GA,Atlanta,Atlanta,134.9509,4309000,Business Products & Services,2
2757,20,IT Direct,CT,West Hartford,Hartford-West Hartford-East Hartford CT,134.8719,3276860,IT Services,2
2758,689,Carenet Healthcare Services,TX,San Antonio,San Antonio TX,134.7917,35358440,Health,6
2759,8,Sencha Naturals,CA,Los Angeles,Los Angeles,134.7217,3231961,Manufacturing,2
2760,2157,Einstein HR,GA,Lawrenceville,Atlanta,134.6377,27306679,Human Resources,1
2761,150,Kriser's,CA,Santa Monica,Los Angeles,134.5876,14167161,Retail,4
2762,100,Synchrogenix Information Strategies,DE,Wilmington,Philadelphia,134.5826,13408184,Health,3
2763,14,Elegante Custom Stone Boutique by Zicana,NY,Westbury,New York City,134.5765,3008359,Retail,1
2764,34,Progressive Coating,IL,Chicago,Chicago,134.5678,3777300,Manufacturing,1
2765,55,Partner's Consulting,PA,Broomall,Philadelphia,134.4973,5594414,IT Services,3
2766,51,Everstaff International,OH,Independence,Cleveland,134.4718,23890009,Human Resources,5
2767,50,Closet America,MD,Lanham,Washington DC,134.4147,5562108,Construction,1
2768,118,Research Square,NC,Durham,Durham NC,134.2386,16557604,Education,3
2769,319,The TharpeRobbins Company,NC,Statesville,Hickory-Lenoir-Morganton NC,134.1272,192586000,Business Products & Services,4
2770,12,Gateway Commercial Finance,FL,Delray Beach,Miami,133.9555,3478568,Financial Services,3
2771,239,TransTech IT Staffing,IL,Itasca,Chicago,133.8215,34572360,IT Services,1
2772,105,Travelink,TN,Nashville,Nashville,133.7586,159132882,Travel & Hospitality,1
2773,16,Davenport Group,MN,St. Paul,Minneapolis,133.6983,8980334,IT Services,2
2774,100,SingleHop,IL,Chicago,Chicago,133.6587,29249000,IT Services,5
2775,3,Powder X Coating Systems,TN,LaVergne,Nashville,133.6353,4566694,Manufacturing,3
2776,133,Navigator Management Partners,OH,Columbus,Columbus OH,133.6006,32609027,IT Services,8
2777,79,iVantage Group,MI,Brighton,Detroit,133.5984,8692653,IT Services,1
2778,47,PowerDMS,FL,Orlando,Orlando FL,133.4928,4880000,Software,4
2779,17,Slice of Lime,CO,Boulder,Boulder CO,133.4185,2212502,Software,1
2780,20,Veritas Health,IL,Deerfield,Chicago,133.3884,2824000,Health,2
2781,200,Meathead Movers,CA,San Luis Obispo,San Luis Obispo-Paso Robles CA,133.3278,7245632,Logistics & Transportation,3
2782,3565,Security Industry Specialist,CA,Culver CIty,Los Angeles,133.2343,118291203,Security,5
2783,27,TentCraft,MI,Traverse City,Traverse City MI,133.1628,5351051,Business Products & Services,1
2784,13,Prime Controls (Dayton OH),OH,Dayton,Dayton OH,133.1215,2725932,Manufacturing,2
2785,838,Paylocity,IL,Arlington Heights,Chicago,133.0609,77294000,Human Resources,10
2786,40,Falcon Asphalt Repair Equipment,MI,Midland,Bay City MI,132.8827,6118112,Manufacturing,4
2787,34,TitleSmart,MN,Maplewood,Minneapolis,132.8132,4842714,Insurance,1
2788,18,US Micro Products,TX,Austin,Austin,132.8045,18336505,Manufacturing,3
2789,42,Enstoa,NY,New York,New York City,132.7372,8088027,IT Services,4
2790,43,ITS Infinity Trading,AZ,Chandler,Phoenix,132.6103,14672945,Travel & Hospitality,6
2791,22,Gen3 Marketing,PA,Blue Bell,Philadelphia,132.5306,5459136,Advertising & Marketing,1
2792,41,Rottet Studio,TX,Houston,Houston,132.5162,11285762,Construction,1
2793,24,Insurance Applications Group,SC,Greenville,Greenville-Mauldin-Easley SC,132.4395,8247966,Insurance,5
2794,61,Riviera Partners,CA,San Francisco,San Francisco,132.3803,13980000,Human Resources,4
2795,41,Northern Lights Post,NY,New York,New York City,132.2743,16445046,Media,2
2796,27,513 Ventures,OH,Cincinnati,Cincinnati,132.2112,3035000,Consumer Products & Services,1
2797,38,RF IDeas,IL,Rolling Meadows,Chicago,132.1348,33069338,Business Products & Services,4
2798,134,Ascent,MO,St. Louis,St. Louis MO-IL,132.1297,12263275,Engineering,1
2799,94,Radius (Annapolis MD),MD,Annapolis,Baltimore,132.0485,34675000,Business Products & Services,7
2800,60,Hassett Willis,DC,Washington,Washington DC,131.8753,13204652,Government Services,2
2801,59,Central Research,AR,Lowell,Fayetteville-Springdale-Rogers AR-MO,131.8477,6739317,Government Services,4
2802,125,Visual Citi,NY,West Babylon,New York City,131.7843,13254901,Manufacturing,1
2803,12,Snap Technology,GA,Cumming,Atlanta,131.7481,2224249,IT Services,1
2804,366,iCan Benefit Group,FL,Boca Raton,Miami,131.7132,40873653,Insurance,1
2805,57,PowerON Services,CA,Roseville,Sacramento--Arden-Arcade--Roseville CA,131.6481,24463339,Computer Hardware,7
2806,10,Lodging Source,SC,Mount Pleasant,Charleston-North Charleston SC,131.6203,9518479,Travel & Hospitality,1
2807,25,Sage Age Strategies,PA,Montoursville,Williamsport PA,131.5586,4519854,Advertising & Marketing,1
2808,104,Overture Promotions,IL,Vernon Hills,Chicago,131.4866,29158172,Advertising & Marketing,1
2809,12,Caxy Interactive,IL,Chicago,Chicago,131.4467,2061466,IT Services,1
2810,99,Enjoy Life Foods,IL,Schiller Park,Chicago,131.4402,33089000,Food & Beverage,8
2811,16,Mavenspire,MD,Annapolis,Baltimore,131.4431,5697439,IT Services,1
2812,171,Investar Holding,LA,Baton Rouge,Baton Rouge LA,131.4315,22472000,Financial Services,1
2813,721,IPS - Integrated Project Services,PA,Blue Bell,Philadelphia,131.2859,173496000,Engineering,1
2814,41,Ingenium,CA,Escondido,San Diego,131.2323,8875450,Environmental Services,4
2815,10,The Aramco Group,CA,Carlsbad,San Diego,131.1731,3113010,Real Estate,1
2816,42,Ohio Real Title Agency,OH,Cleveland,Cleveland,131.1413,6291850,Real Estate,1
2817,107,The Partners Group,OR,Portland,Portland OR,131.1261,18756551,Insurance,2
2818,134,Surya,GA,Calhoun,Rome GA,130.8827,82287348,Consumer Products & Services,4
2819,6,Travertine Mart,FL,Hallandale,Miami,130.7865,2785124,Consumer Products & Services,3
2820,61,Prep Sportswear,WA,Seattle,Seattle,130.7721,22727664,Retail,6
2821,90,The Bowen Consulting Group,VA,Stafford,Washington DC,130.6922,5252587,Government Services,4
2822,15,Historical Emporium,CA,San Jose,San Jose,130.67,7137342,Retail,5
2823,30,VeriShip,KS,Overland Park,Kansas City MO-KS,130.6116,4672244,Logistics & Transportation,1
2824,140,DC Group,MN,Minneapolis,Minneapolis,130.5544,28152896,Energy,7
2825,15,Taggart International,MO,Liberty,Kansas City MO-KS,130.4701,6210572,Logistics & Transportation,1
2826,40,ESD,OH,Toledo,Toledo OH,130.3576,43871147,Health,5
2827,17,Cantey Technology,SC,Mount Pleasant,Charleston-North Charleston SC,130.3139,2568000,IT Services,2
2828,125,Parts Town,IL,Addison,Chicago,130.2823,78682718,Food & Beverage,6
2829,64,Packrite,NC,HIgh Point,Greensboro-High Point NC,130.2704,17755095,Manufacturing,3
2830,800,Scrap Metal Services,IL,Burnham,Chicago,130.2474,409472296,Manufacturing,5
2831,49,Cambria Solutions,CA,Sacramento,,130.2251,15198217,Business Products & Services,6
2832,200,Sage Environmental Consulting,TX,Austin,Austin,130.2119,46087769,Environmental Services,8
2833,27,DLA+ Architecture & Interior Design,PA,Pittsburgh,,130.1361,3664140,Engineering,2
2834,56,AgencyEA,IL,Chicago,Chicago,130.1022,16891210,Advertising & Marketing,2
2835,447,Taphandles,WA,Seattle,Seattle,130.0636,24601559,Business Products & Services,7
2836,120,110 Consulting,WA,Bellevue,Seattle,130.0625,16271084,IT Services,4
2837,421,Snap Fitness,MN,Chanhassen,Minneapolis,130.0501,66634000,Health,6
2838,45,Rotating Machinery Services,PA,Bethlehem,Allentown-Bethlehem-Easton PA-NJ,129.9376,18734472,Engineering,6
2839,3,Proforma Diversified Corporate Solutions,OH,Lima,Lima OH,129.9213,2044000,Advertising & Marketing,1
2840,47,EdgeWebHosting,MD,Baltimore,Baltimore,129.8776,12346820,IT Services,4
2841,80,Accelerated Claims,GA,Kennesaw,Atlanta,129.8603,5417513,Health,3
2842,23,MS Signs,NJ,Paterson,New York City,129.7992,4217825,Manufacturing,1
2843,23,HR Focal Point,TX,Plano,Dallas,129.6904,8993135,IT Services,3
2844,626,Nexus,CA,Valencia,Los Angeles,129.6383,471034904,IT Services,6
2845,527,Bowman Consulting,VA,Chantilly,Washington DC,129.5109,73813000,Engineering,6
2846,45,Business Information Technology Solutions,VA,Alexandria,Washington DC,129.2882,11412344,IT Services,4
2847,13,NordicClick Interactive,MN,Excelsior,Minneapolis,129.2829,2057424,Advertising & Marketing,1
2848,19,Zerion Software,VA,Herndon,Washington DC,129.2618,2006009,Software,1
2849,94,Galen Healthcare Solutions,IL,Chicago,Chicago,129.2259,14510000,Health,5
2850,37,Cafe Grumpy,NY,Brooklyn,New York City,129.1787,2760847,Food & Beverage,2
2851,99,Velir,MA,Somerville,Boston,129.1618,14347263,IT Services,3
2852,66,Vision33,CA,Irvine,Los Angeles,129.0833,19107027,IT Services,4
2853,10,DanniJo,NY,New York,New York City,129.0626,3797400,Retail,1
2854,33,MHD Enterprises,TX,Austin,Austin,129.0323,7058136,Business Products & Services,3
2855,120,Verndale,MA,Boston,Boston,128.9503,13035606,IT Services,8
2856,19,Balani Custom Clothiers,IL,Chicago,Chicago,128.859,3278927,Retail,1
2857,45,Phone.com,NJ,Livingston,New York City,128.8113,7610535,Telecommunications,4
2858,10,Harbour Results,MI,Royal Oak,Detroit,128.7121,2137948,Business Products & Services,1
2859,142,Solstice Mobile,IL,Chicago,Chicago,128.6619,21668000,Business Products & Services,5
2860,40,ShipCompliant,CO,Boulder,Boulder CO,128.5328,7143496,Software,3
2861,211,HealthcareSource,MA,Woburn,Boston,128.5178,40210000,Health,2
2862,31,Institute for Corporate Productivity,WA,Seattle,Seattle,128.5242,4848216,Business Products & Services,4
2863,700,Planet Fitness,NH,Newington,Concord NH,128.5032,211009000,Health,7
2864,107,Gravity Payments,WA,Seattle,Seattle,128.4448,13062032,Financial Services,6
2865,125,Cape Associates,MA,Eastham,Barnstable Town MA,128.4206,31468183,Construction,3
2866,63,ARGI Financial Group,KY,Louisville,Louisville/Jefferson KY-IN,128.2374,9929555,Financial Services,6
2867,14,ShipOffers,CO,Centennial,Denver,128.1804,4112064,Health,1
2868,230,Excelsior Defense,FL,St. Petersburg,Tampa,128.1663,7166609,Security,8
2869,1476,The Cellular Connection,IN,Marion,,128.1251,671930112,Telecommunications,5
2870,48,Tom Ferry - Your Coach,CA,Irvine,Los Angeles,127.9517,10590720,Real Estate,2
2871,284,Mindshare Technologies,UT,Salt Lake City,Salt Lake City,127.9228,30942763,Business Products & Services,7
2872,27,Central Park West Dentistry,NY,New York,New York City,127.8794,4761566,Health,3
2873,68,Claris Networks,TN,Knoxville,Knoxville TN,127.8388,16079374,IT Services,5
2874,288,Vino Volo,CA,San Francisco,San Francisco,127.8191,28339898,Food & Beverage,4
2875,38,Anita Goodesign,NC,Charlotte,Charlotte,127.6338,6965448,Consumer Products & Services,1
